,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,
5,400.7666667,160.1733333,0.600332696,432.8633094,162.1945946,0.625298354,336.5674157,132.123348,0.607438683,368.6625767,144.1514423,0.608988133,432.9064748,176.202346,0.592978261,384.6602564,144.1538462,0.625243722,384.6602564,144.1538462,0.625243722,,,,,,
6,481.416,192.2115385,0.60073712,513.6153846,208.2361111,0.594568003,401.0333333,176.1495601,0.560760801,433.2302158,176.1818182,0.593329801,513.6837607,208.2465278,0.594601691,449.2462687,192.1794872,0.572217956,449.2462687,192.1794872,0.572217956,,,,,,
7,513.3760684,221.3247232,0.568883832,561.5420561,235.3764706,0.580839105,448.9776119,190.2278481,0.576308834,481.176,206.2749141,0.571310884,561.6168224,239.3824701,0.573761931,481.208,208.2777778,0.567177234,481.208,208.2777778,0.567177234,,,,,,
,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,,
,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,,
,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,7,result,8,8,result,12,12,result,13,13,result,15,15,result,16,16,result,17,17,result,18,18,RESULT,,,
0,287.7607656,111.9533582,0.610949888,175.9237537,63.98933902,0.636266634,159.9413333,63.98827292,0.599926601,143.9544365,63.98720682,0.555503752,175.914956,63.98933902,0.636248444,271.7918552,95.9712,0.646894496,223.8619403,79.98133333,0.642720271,191.9009585,63.99040512,0,,,
1,448.4701493,192,0.57187786,272.2090909,112.0130597,0.588503605,256.1709402,112.005597,0.56277009,224.1529851,96.0096,0.571678245,256.1880342,112.0074627,0.562791982,416.4652778,176.0146628,0.577360534,352.2882353,144.0119904,0.591209765,288.2259615,128.0042644,0,,,
2,593.8811881,240.256,0.595447701,368.7484663,144.1105769,0.60919003,336.6404494,128.0961538,0.619486743,304.5279188,128.0767591,0.579425231,352.6705882,144.0961538,0.591414315,577.7019231,224.2425373,0.611836955,465.1472868,176.1671554,0.621265865,384.8333333,160.1173333,0,,,
3,771.7564103,288.5817308,0.626071482,481.48,177.2359882,0.631893353,433.2753623,164.1972603,0.621032548,401.0333333,150.16,0.625567285,449.3283582,176.2111437,0.607834359,739.4444444,272.5363636,0.631430913,594.2970297,224.3595506,0.622479098,497.6528926,192.2596154,0.0016,,,
4,933.9375,351.9356725,0.623169995,578.3269231,225.3609023,0.610322651,529.9734513,208.3055556,0.606950961,481.616,190.2539683,0.604967509,546.0727273,213.3131673,0.609368576,885.3970588,336.8539326,0.61954478,723.5903614,276.5529954,0.617804479,610.5816327,236.4094488,0.045111268,,,
5,1109.407407,433.1798561,0.609539423,690.137931,272.4727273,0.605190912,625.8229167,240.404,0.615859385,577.4807692,224.3333333,0.611531076,641.9354839,256.4230769,0.600546966,1060.894737,401.0866667,0.621935473,851.3428571,336.7247191,0.60447813,722.373494,272.5318182,0.00230092,,,
6,1306.304348,545.4,0.582486271,804.04,336.5674157,0.581404637,739.4444444,304.4873096,0.58822152,674.8089888,288.3894231,0.572635475,771.5897436,320.5026738,0.584620355,1241.520833,513.2991453,0.586556156,1014.288136,416.8680556,0.589004307,852.5142857,352.6294118,0.002001401,,,
7,1417.952381,575.3846154,0.59421443,883.8676471,364.9268293,0.587125029,819.2739726,336.7640449,0.588948195,738.691358,305.6530612,0.586223586,835.4444444,344.8275862,0.587252523,1368.931818,551.2018349,0.597348949,1109.981481,451.443609,0.593287261,932.3125,383.0191083,0.111829478,,,
