,time,name,x,y,speed
19966405,86400,1027198,13311.351114399999,12826.3483585,15.28
19966410,86400,1038585,12796.85,13458.04,15.28
19966426,86400,1110104,14445.661272100002,12855.3838509,15.28
19966433,86400,115697,13773.543512399998,13259.7214043,15.28
19966515,86400,335936,12796.85,13458.04,15.28
19966533,86401,1027198,13323.3709896,12816.914324500001,15.28
19966538,86401,1038585,12796.85,13458.04,15.28
19966554,86401,1110104,14453.7916609,12842.446495,15.28
19966561,86401,115697,13766.47,13250.01,15.28
19966643,86401,335936,12796.85,13458.04,15.28
19966661,86402,1027198,13335.390864899999,12807.4802905,15.28
19966666,86402,1038585,12796.85,13458.04,15.28
19966682,86402,1110104,14461.9220496,12829.509139,15.28
19966688,86402,115697,13766.47,13250.01,15.28
19966770,86402,335936,12796.85,13458.04,15.28
19966788,86403,1027198,13347.4107401,12798.046256399999,15.28
19966793,86403,1038585,12794.310231799998,13468.430091100001,15.28
19966809,86403,1110104,14470.0524384,12816.5717831,15.28
19966815,86403,115697,13766.47,13250.01,15.28
19966896,86403,335936,12800.9814685,13448.174130399999,15.28
19966914,86404,1027198,13359.4306154,12788.6122224,15.28
19966919,86404,1038585,12790.6819916,13483.273078400001,15.28
19966935,86404,1110104,14478.1828271,12803.6344272,15.28
19966941,86404,115697,13766.47,13250.01,15.28
19967022,86404,335936,12806.883566299999,13434.080030899999,15.28
19967040,86405,1027198,13371.450490700001,12779.178188400001,15.28
19967045,86405,1038585,12787.0537514,13498.1160657,15.28
19967061,86405,1110104,14486.313215900002,12790.6970713,15.28
19967067,86405,115697,13766.47,13250.01,15.28
19967147,86405,335936,12812.7856642,13419.985931399999,15.28
19967165,86406,1027198,13383.470365899999,12769.7441544,15.28
19967170,86406,1038585,12783.4255111,13512.959053,15.28
19967186,86406,1110104,14494.443604600001,12777.7597154,15.28
19967192,86406,115697,13765.238908899999,13250.915095999999,15.28
19967272,86406,335936,12813.99,13417.11,15.28
19967290,86407,1027198,13393.780641700001,12761.916286700001,15.28
19967295,86407,1038585,12779.797270899999,13527.8020403,15.28
19967317,86407,115697,13752.927998,13259.9660557,15.28
19967397,86407,335936,12813.99,13417.11,15.28
19967415,86408,1027198,13406.2161139,12753.037242299999,15.28
19967420,86408,1038585,12776.1690307,13542.6450276,15.28
19967442,86408,115697,13740.6170871,13269.0170154,15.28
19967522,86408,335936,12813.99,13417.11,15.28
19967540,86409,1027198,13418.6515861,12744.1581979,15.28
19967545,86409,1038585,12772.5407904,13557.488014899998,15.28
19967567,86409,115697,13728.3061762,13278.0679751,15.28
19967647,86409,335936,12813.99,13417.11,15.28
19967665,86410,1027198,13431.0870583,12735.279153399999,15.28
19967670,86410,1038585,12768.9125502,13572.331002200002,15.28
19967692,86410,115697,13715.9952653,13287.1189349,15.28
19967772,86410,335936,12813.99,13417.11,15.28
19967790,86411,1027198,13443.5225306,12726.400109,15.28
19967795,86411,1038585,12765.28431,13587.173989500001,15.28
19967817,86411,115697,13708.2,13292.85,15.28
19967897,86411,335936,12816.803370200001,13408.384338299998,15.28
19967915,86412,1027198,13455.9580028,12717.5210646,15.28
19967920,86412,1038585,12761.6560698,13602.016976800001,15.28
19967942,86412,115697,13708.2,13292.85,15.28
19968022,86412,335936,12821.4923206,13393.8415689,15.28
19968040,86413,1027198,13468.393475,12708.6420202,15.28
19968045,86413,1038585,12758.0278295,13616.8599641,15.28
19968067,86413,115697,13708.2,13292.85,15.28
19968146,86413,335936,12826.181271,13379.2987994,15.28
19968164,86414,1027198,13478.919131999999,12700.9624009,15.28
19968169,86414,1038585,12754.3995893,13631.7029514,15.28
19968191,86414,115697,13708.2,13292.85,15.28
19968270,86414,335936,12830.8702214,13364.75603,15.28
19968288,86415,1027198,13491.197396000001,12691.8672026,15.28
19968293,86415,1038585,12750.7713491,13646.5459387,15.28
19968315,86415,115697,13708.2,13292.85,15.28
19968394,86415,335936,12835.5591718,13350.2132605,15.28
19968412,86416,1027198,13503.4756601,12682.772004299999,15.28
19968417,86416,1038585,12747.1431088,13661.388926,15.28
19968438,86416,115697,13705.6554441,13294.5424454,15.28
19968517,86416,335936,12840.2481222,13335.6704911,15.28
19968534,86417,1027198,13515.7539241,12673.6768061,15.28
19968539,86417,1038585,12743.75,13675.27,15.28
19968560,86417,115697,13692.932664700002,13303.0046721,15.28
19968639,86417,335936,12844.937072499999,13321.1277216,15.28
19968656,86418,1027198,13526.961530899998,12667.638539200001,15.28
19968661,86418,1038585,12743.75,13675.27,15.28
19968682,86418,115697,13680.2098852,13311.4668989,15.28
19968761,86418,335936,12849.6260229,13306.5849521,15.28
19968778,86419,1027198,13541.390358200002,12662.609887100001,15.28
19968783,86419,1038585,12743.75,13675.27,15.28
19968804,86419,115697,13667.487105799999,13319.929125700002,15.28
19968883,86419,335936,12854.3149733,13292.042182700001,15.28
19968900,86420,1027198,13555.819185499999,12657.581235,15.28
19968905,86420,1038585,12743.75,13675.27,15.28
19968926,86420,115697,13654.764326299997,13328.3913525,15.28
19969005,86420,335936,12859.0039237,13277.499413200001,15.28
19969022,86421,1027198,13570.248012799999,12652.552583,15.28
19969027,86421,1038585,12743.75,13675.27,15.28
19969048,86421,115697,13642.0415468,13336.8535793,15.28
19969127,86421,335936,12863.6928741,13262.9566438,15.28
19969144,86422,1027198,13584.676840200002,12647.5239309,15.28
19969149,86422,1038585,12743.75,13675.27,15.28
19969170,86422,115697,13629.3187674,13345.315806100001,15.28
19969249,86422,335936,12864.73,13259.74,15.28
19969266,86423,1027198,13593.8769083,12639.1427702,15.28
19969271,86423,1038585,12740.1988491,13688.5555873,15.28
19969292,86423,115697,13616.5959879,13353.778032799999,15.28
19969371,86423,335936,12864.73,13259.74,15.28
19969388,86424,1027198,13603.405088799998,12627.197387100001,15.28
19969393,86424,1038585,12736.253125799998,13703.317351,15.28
19969414,86424,115697,13606.64,13360.4,15.28
19969493,86424,335936,12864.73,13259.74,15.28
19969510,86425,1027198,13612.9332692,12615.2520041,15.28
19969515,86425,1038585,12732.3074025,13718.079114700002,15.28
19969535,86425,115697,13606.64,13360.4,15.28
19969614,86425,335936,12864.73,13259.74,15.28
19969631,86426,1027198,13622.4614497,12603.306621,15.28
19969636,86426,1038585,12728.3616793,13732.8408784,15.28
19969656,86426,115697,13606.64,13360.4,15.28
19969735,86426,335936,12864.73,13259.74,15.28
19969752,86427,1027198,13631.989630200002,12591.361238,15.28
19969757,86427,1038585,12724.415956,13747.602641999998,15.28
19969777,86427,115697,13606.64,13360.4,15.28
19969856,86427,335936,12871.949467899998,13265.3907971,15.28
19969873,86428,1027198,13641.121128600002,12583.251238200002,15.28
19969878,86428,1038585,12723.85,13749.72,15.28
19969898,86428,115697,13606.64,13360.4,15.28
19969977,86428,335936,12883.981914299999,13274.8087921,15.28
19969994,86429,1027198,13653.543385699999,12574.3537145,15.28
19969999,86429,1038585,12723.85,13749.72,15.28
19970019,86429,115697,13605.387833899998,13361.2757078,15.28
19970098,86429,335936,12896.0143608,13284.226787200001,15.28
19970115,86430,1027198,13665.9656428,12565.456190899999,15.28
19970120,86430,1038585,12723.85,13749.72,15.28
19970140,86430,115697,13592.866172999999,13370.0327854,15.28
19970219,86430,335936,12908.0468072,13293.6447823,15.28
19970236,86431,1027198,13678.387899899999,12556.5586672,15.28
19970241,86431,1038585,12723.85,13749.72,15.28
19970261,86431,115697,13581.86,13377.73,15.28
19970340,86431,335936,12913.1,13297.6,15.28
19970357,86432,1027198,13690.8101571,12547.6611436,15.28
19970362,86432,1038585,12723.85,13749.72,15.28
19970382,86432,115697,13581.86,13377.73,15.28
19970460,86432,335936,12913.1,13297.6,15.28
19970477,86433,1027198,13703.232414200002,12538.76362,15.28
