,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,5,14,2,7,29,49,40,32,36,34,34,35,28,31,35,27,21,32,37,46,40,45,35,40
1,5,14,2,7,29,65,111,111,116,109,116,126,101,96,111,94,84,100,137,143,127,120,129,80
2,5,14,2,7,29,196,204,209,208,164,149,189,160,193,167,197,168,200,200,229,164,180,155,107
3,5,14,2,7,29,196,245,278,261,262,208,227,239,217,267,246,246,289,274,287,229,180,194,320
4,5,14,2,7,29,196,306,371,298,262,260,284,319,248,267,328,320,325,314,287,287,361,194,320
5,5,14,2,7,29,196,306,418,417,327,260,284,383,347,333,393,355,433,439,573,287,241,387,320
6,5,14,2,7,29,196,306,557,417,327,520,284,383,433,333,393,399,520,439,573,573,241,258,320
7,5,14,2,7,29,196,613,668,521,327,520,568,479,433,333,492,532,520,549,382,573,241,258,320
