,0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
5,1,1,0,1,0.9867,0.0133,0.9968,0.9685,0.028390851,0.9997,0.9984,0.00130039,1,1,0,0.9984,0.9984,0,0.9984,0.9984,0,,,,,,,,,,,,,,,,,,,
6,1,0.9984,0.0016,0.9984,0.9984,0,1,1,0,1,1,0,0.9984,0.9984,0,1,0.9984,0.0016,1,0.9984,0.0016,,,,,,,,,,,,,,,,,,,
7,0.9984,0.8672,0.131410256,0.9987,0.884,0.114849304,1,0.8427,0.1573,1,0.8536,0.1464,0.9987,0.8701,0.128767398,1,0.8448,0.1552,1,0.8448,0.1552,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,7,result,8,8,RESULT,12,12,RESULT,13,13,RESULT,15,15,RESULT,16,16,RESULT,17,17,RESULT,18,18,RESULT,,,,,,,,,,,,,,,,
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,
1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,
2,1,1,0,0.9997,0.9984,0.00130039,0.9998,0.9984,0.00140028,1,1,0,0.9995,0.9984,0.00110055,1,1,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,
3,0.9984,0.9984,0,1,0.9944,0.0056,0.9936,0.9733,0.020430757,1,0.96,0.04,1,1,0,0.9936,0.9973,-0.003723833,0.9976,0.9968,0.000801925,1,0.9984,0.0016,,,,,,,,,,,,,,,,
4,0.9899,0.9576,0.032629559,0.9984,0.9221,0.076422276,0.9944,0.9216,0.073209976,1,0.924,0.076,0.9973,0.8992,0.098365587,0.9973,0.9493,0.048129951,0.996,0.9259,0.070381526,0.9931,0.9483,0.045111268,,,,,,,,,,,,,,,,
5,1,1,0,0.9976,0.9973,0.000300722,1,1,0,0.9984,0.9968,0.001602564,0.9992,0.9984,0.000800641,1,1,0,0.9993,0.9968,0.002501751,0.9996,0.9973,0.00230092,,,,,,,,,,,,,,,,
6,1,0.9973,0.0027,1,0.9968,0.0032,0.9992,0.9981,0.001100881,0.9998,0.9984,0.00140028,0.9984,0.9973,0.001101763,0.9996,0.9984,0.00120048,0.9992,0.9984,0.000800641,0.9993,0.9973,0.002001401,,,,,,,,,,,,,,,,
7,0.9856,0.8875,0.099533279,0.9973,0.8747,0.122931916,0.9928,0.8544,0.139403707,0.9936,0.8885,0.105776973,0.9984,0.8816,0.116987179,0.9973,0.9011,0.096460443,0.9936,0.8867,0.107588567,0.9899,0.8792,0.111829478,,,,,,,,,,,,,,,,
