,time,name,x,y,speed
211929,10800,130202,12766.009958,13584.205391999998,15.28
211936,10800,1527518,12935.1831998,13989.2724334,15.28
211944,10800,450143,13353.862478000001,13935.4386769,15.28
211963,10801,130202,12762.381717799999,13599.048379299998,15.28
211970,10801,1527518,12920.315198299999,13992.796767200001,15.28
211978,10801,450143,13368.5999415,13931.403138299998,15.28
211997,10802,130202,12758.753477600001,13613.8913666,15.28
212004,10802,1527518,12905.4471967,13996.321101,15.28
212012,10802,450143,13383.3374049,13927.3675998,15.28
212031,10803,130202,12755.125237299999,13628.734353900001,15.28
212038,10803,1527518,12890.5791952,13999.8454348,15.28
212046,10803,450143,13388.77,13925.88,15.28
212065,10804,130202,12751.496997100001,13643.5773412,15.28
212080,10804,450143,13388.77,13925.88,15.28
212099,10805,130202,12747.8687569,13658.4203285,15.28
212114,10805,450143,13388.77,13925.88,15.28
212133,10806,130202,12744.2405166,13673.263315799999,15.28
212148,10806,450143,13388.77,13925.88,15.28
212167,10807,130202,12743.75,13675.27,15.28
212182,10807,450143,13388.77,13925.88,15.28
212200,10808,130202,12743.75,13675.27,15.28
212215,10808,450143,13396.089747600001,13923.691188600002,15.28
212233,10809,130202,12743.75,13675.27,15.28
212248,10809,450143,13410.7292427,13919.3135657,15.28
212266,10810,130202,12743.75,13675.27,15.28
212281,10810,450143,13425.3687378,13914.9359428,15.28
212299,10811,130202,12743.75,13675.27,15.28
212308,10811,1575611,14460.562324899998,13999.2877949,15.28
212314,10811,450143,13440.0082329,13910.5583199,15.28
212332,10812,130202,12740.9879937,13685.603234600001,15.28
212341,10812,1575611,14445.3329936,13998.044466,15.28
212347,10812,450143,13454.647728,13906.180697100002,15.28
212365,10813,130202,12737.0422704,13700.364998299998,15.28
212374,10813,1575611,14430.1036623,13996.8011371,15.28
212380,10813,450143,13456.69,13905.57,15.28
212398,10814,130202,12733.0965472,13715.1267619,15.28
212407,10814,1575611,14414.874331,13995.557808200001,15.28
212413,10814,450143,13456.69,13905.57,15.28
212431,10815,130202,12729.1508239,13729.888525600001,15.28
212440,10815,1575611,14399.6449996,13994.314479299997,15.28
212446,10815,450143,13456.69,13905.57,15.28
212464,10816,130202,12725.2051006,13744.650289300002,15.28
212473,10816,1575611,14384.4156683,13993.071150400001,15.28
212479,10816,450143,13456.69,13905.57,15.28
212497,10817,130202,12721.820808600001,13757.085594499998,15.28
212506,10817,1575611,14369.186337000001,13991.827821500001,15.28
212512,10817,450143,13456.69,13905.57,15.28
212531,10818,130202,12717.7624257,13771.8167834,15.28
212540,10818,1575611,14353.957005700002,13990.584492599999,15.28
212546,10818,450143,13467.285719999998,13904.108790799999,15.28
212565,10819,130202,12713.704042799998,13786.547972400002,15.28
212574,10819,1575611,14340.961123700003,13988.346353100002,15.28
212580,10819,450143,13470.25,13903.7,15.28
212599,10820,130202,12709.64566,13801.2791613,15.28
212608,10820,1575611,14326.103371000001,13984.779059399998,15.28
212614,10820,450143,13470.25,13903.7,15.28
212633,10821,130202,12705.5872771,13816.0103502,15.28
212642,10821,1575611,14311.2456183,13981.2117657,15.28
212648,10821,450143,13470.25,13903.7,15.28
212666,10822,130202,12701.5288942,13830.741539200002,15.28
212675,10822,1575611,14296.387865600002,13977.644472,15.28
212681,10822,450143,13470.25,13903.7,15.28
212699,10823,130202,12697.470511299998,13845.472728100001,15.28
212708,10823,1575611,14281.5301129,13974.0771783,15.28
212714,10823,450143,13470.25,13903.7,15.28
212732,10824,130202,12694.4099155,13858.6115806,15.28
212741,10824,1575611,14266.6723602,13970.509884600002,15.28
212747,10824,450143,13480.907031,13902.7878021,15.28
212765,10825,130202,12695.8090701,13873.827387099998,15.28
212774,10825,1575611,14251.814607600001,13966.9425909,15.28
212780,10825,450143,13496.1313611,13901.4846623,15.28
212798,10826,130202,12697.208224700002,13889.0431935,15.28
212807,10826,1575611,14236.9568549,13963.3752972,15.28
212813,10826,450143,13511.3556912,13900.1815225,15.28
212831,10827,130202,12698.6073793,13904.258999999998,15.28
212840,10827,1575611,14225.0071867,13959.879105000002,15.28
212846,10827,450143,13526.580021200001,13898.878382700002,15.28
212864,10828,130202,12698.833395200001,13917.5015382,15.28
212873,10828,1575611,14210.481560100001,13955.137315099999,15.28
212879,10828,450143,13541.804351299998,13897.575242899999,15.28
212897,10829,130202,12690.067346799999,13930.0169206,15.28
212906,10829,1575611,14199.61,13951.25,15.28
212912,10829,450143,13557.0286813,13896.272103100002,15.28
212930,10830,130202,12688.279977700002,13942.0060314,15.28
212939,10830,1575611,14185.337619999998,13945.793117200003,15.28
212945,10830,450143,13572.2530114,13894.968963199999,15.28
212963,10831,130202,12688.596607200001,13957.282750499999,15.28
212972,10831,1575611,14171.065240099999,13940.336234399998,15.28
212978,10831,450143,13587.4773415,13893.6658234,15.28
212996,10832,130202,12688.913236700002,13972.5594695,15.28
213005,10832,1575611,14156.7928601,13934.879351700001,15.28
213011,10832,450143,13588.48,13893.58,15.28
213029,10833,130202,12689.2298662,13987.8361886,15.28
213038,10833,1575611,14142.5204802,13929.4224689,15.28
213044,10833,450143,13588.48,13893.58,15.28
213071,10834,1575611,14128.2481002,13923.965586100001,15.28
213077,10834,450143,13588.48,13893.58,15.28
213104,10835,1575611,14113.975720299997,13918.5087033,15.28
213110,10835,450143,13588.48,13893.58,15.28
213137,10836,1575611,14099.7033403,13913.0518206,15.28
213143,10836,450143,13588.48,13893.58,15.28
213170,10837,1575611,14085.430960400001,13907.594937799999,15.28
213176,10837,450143,13596.39,13893.5,15.28
213203,10838,1575611,14071.158580399999,13902.138055000001,15.28
213209,10838,450143,13596.39,13893.5,15.28
213236,10839,1575611,14056.8862005,13896.6811722,15.28
213242,10839,450143,13596.39,13893.5,15.28
213269,10840,1575611,14042.6138205,13891.224289500002,15.28
213275,10840,450143,13596.39,13893.5,15.28
213303,10841,1575611,14030.1631856,13887.8134373,15.28
213309,10841,450143,13596.39,13893.5,15.28
213337,10842,1575611,14014.9404709,13886.4915614,15.28
213343,10842,450143,13597.9068995,13893.3161523,15.28
213371,10843,1575611,13999.717756099999,13885.1696856,15.28
213377,10843,450143,13613.0758942,13891.4776751,15.28
213405,10844,1575611,13984.495041400001,13883.8478098,15.28
213411,10844,450143,13628.2448889,13889.6391979,15.28
213439,10845,1575611,13969.272326700002,13882.525933899999,15.28
213445,10845,450143,13643.4138836,13887.8007208,15.28
213473,10846,1575611,13954.049612,13881.2040581,15.28
213479,10846,450143,13645.07,13887.6,15.28
213507,10847,1575611,13941.277615399998,13880.055055,15.28
213513,10847,450143,13645.07,13887.6,15.28
213541,10848,1575611,13926.059923199999,13878.6765622,15.28
213547,10848,450143,13645.07,13887.6,15.28
213575,10849,1575611,13910.842231,13877.2980694,15.28
213581,10849,450143,13645.07,13887.6,15.28
213609,10850,1575611,13895.85,13875.94,15.28
213615,10850,450143,13645.07,13887.6,15.28
213643,10851,1575611,13882.0981028,13875.993174500001,15.28
213649,10851,450143,13655.745686000002,13888.2588961,15.28
213677,10852,1575611,13866.8182171,13876.052257299998,15.28
213683,10852,450143,13670.996666,13889.200176299999,15.28
213711,10853,1575611,13851.5383313,13876.111340099998,15.28
213717,10853,450143,13672.29,13889.28,15.28
213745,10854,1575611,13836.2584456,13876.1704229,15.28
213751,10854,450143,13672.29,13889.28,15.28
213779,10855,1575611,13820.9785599,13876.229505700001,15.28
213785,10855,450143,13672.29,13889.28,15.28
213813,10856,1575611,13805.6986741,13876.2885885,15.28
213819,10856,450143,13672.29,13889.28,15.28
213847,10857,1575611,13790.4187884,13876.3476713,15.28
213853,10857,450143,13672.29,13889.28,15.28
213882,10858,1575611,13775.1389026,13876.4067541,15.28
213888,10858,450143,13684.5139475,13889.2441718,15.28
213917,10859,1575611,13759.8590169,13876.465836899999,15.28
213923,10859,450143,13699.793881799998,13889.1993864,15.28
213952,10860,1575611,13747.7391726,13878.189979299998,15.28
213958,10860,450143,13709.82,13889.17,15.28
213987,10861,1575611,13733.062104100001,13882.439927399999,15.28
213993,10861,450143,13709.82,13889.17,15.28
214022,10862,1575611,13718.3850356,13886.6898755,15.28
214028,10862,450143,13709.82,13889.17,15.28
214057,10863,1575611,13705.2360197,13889.1834356,15.28
214063,10863,450143,13709.82,13889.17,15.28
214092,10864,1575611,13689.956085400001,13889.228220899999,15.28
214098,10864,450143,13709.82,13889.17,15.28
214127,10865,1575611,13674.676151,13889.273006200001,15.28
214133,10865,450143,13712.755413699999,13888.3200104,15.28
214162,10866,1575611,13661.614313999999,13888.6211039,15.28
214168,10866,450143,13727.4324822,13884.0700622,15.28
214197,10867,1575611,13646.363334,13887.679823700002,15.28
214203,10867,450143,13742.109550699999,13879.8201141,15.28
214232,10868,1575611,13645.07,13887.6,15.28
214238,10868,450143,13753.61,13876.49,15.28
214267,10869,1575611,13645.07,13887.6,15.28
214273,10869,450143,13753.61,13876.49,15.28
214301,10870,1575611,13645.07,13887.6,15.28
214307,10870,450143,13753.61,13876.49,15.28
214335,10871,1575611,13645.07,13887.6,15.28
214341,10871,450143,13753.61,13876.49,15.28
214369,10872,1575611,13645.07,13887.6,15.28
214375,10872,450143,13753.61,13876.49,15.28
214403,10873,1575611,13632.9348042,13889.0707817,15.28
214409,10873,450143,13755.137988600001,13876.4840917,15.28
214437,10874,1575611,13617.7658095,13890.9092589,15.28
214443,10874,450143,13770.4178743,13876.425008899998,15.28
214471,10875,1575611,13602.596814800001,13892.7477361,15.28
214477,10875,450143,13785.697760100002,13876.365926100001,15.28
214505,10876,1575611,13596.39,13893.5,15.28
214511,10876,450143,13800.9776458,13876.306843299999,15.28
214539,10877,1575611,13596.39,13893.5,15.28
214545,10877,450143,13816.257531600002,13876.247760499999,15.28
214573,10878,1575611,13596.39,13893.5,15.28
