,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,17.0,17.0,17.0,17.0,17.0,18.0,57.0,135.0,94.0,57.0,55.0,56.0,77.0,76.0,57.0,78.0,134.0,114.0,95.0,56.0,56.0,37.0,38.0,19.0
1,17.0,17.0,17.0,17.0,17.0,22.0,113.0,280.0,183.0,115.0,92.0,110.0,163.0,158.0,116.0,180.0,277.0,229.0,186.0,111.0,111.0,67.0,69.0,41.0
2,17.0,17.0,17.0,17.0,18.0,27.0,161.0,416.0,270.0,165.0,135.0,156.0,245.0,220.0,167.0,248.0,409.0,329.0,276.0,157.0,157.0,102.0,105.0,49.0
3,17.0,18.0,17.0,17.0,19.0,48.0,207.0,561.0,353.0,229.0,177.0,200.0,324.0,294.0,231.0,328.0,534.0,440.0,361.0,201.0,201.0,120.0,140.0,57.0
4,17.0,18.0,17.0,17.0,19.0,52.0,251.0,671.0,417.0,275.0,217.0,242.0,384.0,350.0,278.0,405.0,640.0,532.0,444.0,243.0,243.0,153.0,158.0,65.0
5,17.0,18.0,17.0,17.0,20.0,54.0,297.0,804.0,504.0,322.0,260.0,287.0,469.0,417.0,325.0,475.0,771.0,625.0,533.0,288.0,288.0,177.0,198.0,84.0
6,17.0,18.0,17.0,17.0,20.0,57.0,362.0,962.0,613.0,388.0,307.0,334.0,560.0,505.0,391.0,566.0,928.0,757.0,643.0,336.0,336.0,219.0,225.0,105.0
7,17.0,19.0,17.0,18.0,21.0,65.0,397.0,1069.0,668.0,427.0,334.0,366.0,624.0,561.0,431.0,632.0,1029.0,834.0,718.0,368.0,368.0,233.0,257.0,118.0
