,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,5.0,14.0,2.0,7.0,29.0,49.0,40.0,32.0,36.0,34.0,34.0,35.0,28.0,31.0,35.0,27.0,21.0,32.0,37.0,46.0,40.0,45.0,35.0,40.0
1,5.0,14.0,2.0,7.0,29.0,65.0,111.0,111.0,116.0,109.0,116.0,126.0,101.0,96.0,111.0,94.0,84.0,100.0,137.0,143.0,127.0,120.0,129.0,80.0
2,5.0,14.0,2.0,7.0,29.0,196.0,204.0,209.0,208.0,164.0,149.0,189.0,160.0,193.0,167.0,197.0,168.0,200.0,200.0,229.0,164.0,180.0,155.0,107.0
3,5.0,14.0,2.0,7.0,29.0,196.0,245.0,278.0,261.0,262.0,208.0,227.0,239.0,217.0,267.0,246.0,246.0,289.0,274.0,287.0,229.0,180.0,194.0,320.0
4,5.0,14.0,2.0,7.0,29.0,196.0,306.0,371.0,298.0,262.0,260.0,284.0,319.0,248.0,267.0,328.0,320.0,325.0,314.0,287.0,287.0,361.0,194.0,320.0
5,5.0,14.0,2.0,7.0,29.0,196.0,306.0,418.0,417.0,327.0,260.0,284.0,383.0,347.0,333.0,393.0,355.0,433.0,439.0,573.0,287.0,241.0,387.0,320.0
6,5.0,14.0,2.0,7.0,29.0,196.0,306.0,557.0,417.0,327.0,520.0,284.0,383.0,433.0,333.0,393.0,399.0,520.0,439.0,573.0,573.0,241.0,258.0,320.0
7,5.0,14.0,2.0,7.0,29.0,196.0,613.0,668.0,521.0,327.0,520.0,568.0,479.0,433.0,333.0,492.0,532.0,520.0,549.0,382.0,573.0,241.0,258.0,320.0
