,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,117.647,117.647,117.647,117.647,117.647,111.111,35.088,14.815,21.277,35.088,36.364,35.714,25.974,26.316,35.088,25.641,14.925,17.544,21.053,35.714,35.714,54.054,52.632,105.263
1,235.294,235.294,235.294,235.294,235.294,181.818,35.398,14.286,21.858,34.783,43.478,36.364,24.54,25.316,34.483,22.222,14.44,17.467,21.505,36.036,36.036,59.701,57.971,97.561
2,352.941,352.941,352.941,352.941,333.333,222.222,37.267,14.423,22.222,36.364,44.444,38.462,24.49,27.273,35.928,24.194,14.67,18.237,21.739,38.217,38.217,58.824,57.143,122.449
3,470.588,444.444,470.588,470.588,421.053,166.667,38.647,14.26,22.663,34.934,45.198,40.0,24.691,27.211,34.632,24.39,14.981,18.182,22.161,39.801,39.801,66.667,57.143,140.351
4,588.235,555.556,588.235,588.235,526.316,192.308,39.841,14.903,23.981,36.364,46.083,41.322,26.042,28.571,35.971,24.691,15.625,18.797,22.523,41.152,41.152,65.359,63.291,153.846
5,705.882,666.667,705.882,705.882,600.0,222.222,40.404,14.925,23.81,37.267,46.154,41.812,25.586,28.777,36.923,25.263,15.564,19.2,22.514,41.667,41.667,67.797,60.606,142.857
6,823.529,777.778,823.529,823.529,700.0,245.614,38.674,14.553,22.838,36.082,45.603,41.916,25.0,27.723,35.806,24.735,15.086,18.494,21.773,41.667,41.667,63.927,62.222,133.333
7,941.176,842.105,941.176,888.889,761.905,246.154,40.302,14.967,23.952,37.471,47.904,43.716,25.641,28.52,37.123,25.316,15.549,19.185,22.284,43.478,43.478,68.67,62.257,135.593
