,time,name,x,y,speed
1918748,25201,1154323,14411.3773456,12406.5150806,12.5
1918750,25201,1154572,13767.941881400002,13252.030783299999,12.5
1918771,25201,1155688,13896.8488701,13210.444703000001,12.5
1918773,25201,1155742,13159.0881591,13964.966288999998,12.5
1918776,25201,1155885,13588.48,13893.58,12.5
1918807,25201,1157298,13732.07,13501.16,12.5
1918816,25201,1157701,14151.927898299999,13341.6679315,12.5
1918822,25201,1158060,14197.676317399999,13315.912696200001,12.5
1918836,25201,1159157,13560.229716,13386.7713371,12.5
1918866,25201,1161115,13909.516908000001,13146.1851986,12.5
1918876,25201,1161649,12522.2145373,12746.762208499998,12.5
1918896,25201,1162664,13429.335706099999,13382.5006467,12.5
1918901,25201,1162931,12866.698659399999,13261.280902299999,12.5
1918922,25201,1164076,13646.8459154,12625.517111799998,12.5
1918927,25201,1164393,13024.115511599999,13040.703394700002,12.5
1919003,25201,1168967,14337.4063713,13371.8028123,12.5
1919046,25201,1171163,13766.47,13250.01,12.5
1919063,25201,1171717,13537.96,12444.94,12.5
1919101,25201,1173714,13553.027455599999,13389.7818414,12.5
1919111,25201,1174052,12813.99,13417.11,12.5
1919144,25201,1175557,13301.8921357,13944.9626116,12.5
1919153,25201,1176093,14332.73,13422.62,12.5
1919176,25201,1177239,13964.5263427,13226.788099,12.5
1919184,25201,1177722,13601.3226601,13364.1187046,12.5
1919201,25201,1178421,12764.230086399999,13591.4867764,12.5
1919213,25201,1178927,12939.9366212,13296.505212600001,12.5
1919217,25201,117909,13766.47,13250.01,12.5
1919230,25201,1179579,12713.194069399999,13788.3990829,12.5
1919246,25201,1180361,12574.658721799999,13479.131900600001,12.5
1919262,25201,1180845,13387.149811799998,13953.673885100001,12.5
1919296,25201,1183124,14206.245863,12336.8662323,12.5
1919323,25201,1184481,13184.01,13345.73,12.5
1919324,25201,1184504,12777.2603521,13538.1804748,12.5
1919336,25201,1185306,14287.7620812,13304.3780384,12.5
1919347,25201,1185778,13715.341570200002,13576.8330443,12.5
1919366,25201,1186515,13642.6293924,13336.462589,12.5
1919379,25201,1187387,13645.07,13887.6,12.5
1919416,25201,1189236,13499.4,13396.05,12.5
1919418,25201,1189314,12531.972385500001,13231.1470031,12.5
1919432,25201,1190166,13629.364472799998,13320.9499419,12.5
1919439,25201,1190452,12685.59,13005.3,12.5
1919444,25201,1190631,13118.046685700001,13987.308281099999,12.5
1919460,25201,1191578,14351.590504499998,13519.552161200001,12.5
1919471,25201,1192297,12726.938054200002,13068.628160299999,12.5
1919516,25201,1195104,14185.492215799999,12317.1115668,12.5
1919535,25201,1196017,13123.6973266,13324.684257500001,12.5
1919559,25201,1197279,13176.5332027,13176.3652965,12.5
1919590,25201,1198992,14492.803103,13343.553820000001,12.5
1919593,25201,1199165,14401.0886257,12936.5928415,12.5
1919614,25201,1200135,13645.07,13887.6,12.5
1919624,25201,120063,13722.4884643,12870.239121999999,12.5
1919684,25201,1204550,13462.085421099999,13925.9213689,12.5
1919708,25201,120536,14329.5961998,13421.8857284,12.5
1919712,25201,120554,12501.232018,13548.279583599999,12.5
1919717,25201,1205811,13231.2327625,13954.117691299998,12.5
1919722,25201,1206260,14328.279169299998,13312.1193605,12.5
1919734,25201,1206811,13704.2016023,13627.2260162,12.5
1919745,25201,1207251,14498.997712399998,13950.966322,12.5
1919791,25201,1209488,12848.512704100001,13310.0379079,12.5
1919799,25201,1209869,13158.614652299999,13144.2320301,12.5
1919808,25201,121020,13390.05,12764.58,12.5
1919813,25201,1210513,13499.4,13396.05,12.5
1919838,25201,1211985,13206.44,13957.33,12.5
1919839,25201,1212003,13767.2059407,13251.020391600001,12.5
1919855,25201,1212793,13184.01,13345.73,12.5
1919863,25201,1213195,13085.94,12988.9,12.5
1919890,25201,1214636,13657.672292299998,13871.950554700003,12.5
1919892,25201,1214742,13806.913631799998,13237.7368126,12.5
1919930,25201,1216447,12959.92,13295.69,12.5
1919964,25201,1218721,13455.492397299999,13905.9281171,12.5
1919974,25201,1219581,14337.504811300001,13447.159787600001,12.5
1919977,25201,1219723,12864.73,13259.74,12.5
1920014,25201,1221123,12850.1537471,13304.948216600002,12.5
1920018,25201,1221362,12840.81,13241.74,12.5
1920028,25201,122168,12878.589622700001,13966.9113407,12.5
1920040,25201,1222237,13667.2771231,13893.012769100002,12.5
1920061,25201,1223316,13151.3704536,13337.1438185,12.5
1920086,25201,1224313,13801.7951544,13298.5087986,12.5
1920092,25201,1224511,13225.0345719,13954.9207685,12.5
1920100,25201,1224897,14201.741236200001,13186.265208,12.5
1920104,25201,1225099,12743.75,13675.27,12.5
1920106,25201,1225194,13685.845292299999,13281.2782017,12.5
1920122,25201,1225746,14447.2663541,12423.3358923,12.5
1920151,25201,1227094,12936.2397518,13970.9551694,12.5
1920162,25201,1227503,12796.85,13458.04,12.5
1920165,25201,1227598,12822.919169399998,13389.416200399999,12.5
1920203,25201,122967,12952.42,13969.61,12.5
1920205,25201,1229692,13085.94,12988.9,12.5
1920217,25201,1230382,13634.91,12587.7,12.5
1920224,25201,1230845,13531.527920299997,12427.937803,12.5
1920238,25201,1231772,13184.01,13345.73,12.5
1920251,25201,1232622,13796.198711399999,13290.825300299999,12.5
1920282,25201,1234361,14421.0358305,13996.060835600001,12.5
1920285,25201,1234613,14091.49795,12269.0818081,12.5
1920293,25201,1235016,14296.7361536,13414.186386700001,12.5
1920311,25201,1235730,12582.0702827,12854.0971209,12.5
1920338,25201,1237386,13837.511666600001,13199.164144299999,12.5
1920342,25201,1237565,13048.8112673,13287.6775742,12.5
1920352,25201,1238231,13402.430741700002,13376.8109286,12.5
1920373,25201,123955,13324.0342377,13941.336783,12.5
1920383,25201,1239983,14311.926274399999,13981.3751889,12.5
1920384,25201,1240047,12808.081283,13063.533281,12.5
1920398,25201,1241123,14075.203842200002,12293.725965700001,12.5
1920401,25201,1241398,12870.635978299999,13264.362706999998,12.5
1920433,25201,1243206,12714.855076799999,13392.451643,12.5
1920451,25201,1243942,12959.92,13295.69,12.5
1920524,25201,1247826,13753.61,13876.49,12.5
1920543,25201,1248774,12788.302451200001,13156.431912,12.5
1920551,25201,124917,12725.3,13936.64,12.5
1920563,25201,1249702,13117.2105435,13061.1752766,12.5
1920570,25201,1250074,13492.0277496,13394.6716229,12.5
1920581,25201,1250383,13833.22,13018.08,12.5
1920585,25201,1250575,14351.3339533,13518.2336352,12.5
1920594,25201,1250945,13625.976539700001,13347.5388021,12.5
1920611,25201,1251744,14157.993736200002,13381.6780552,12.5
1920619,25201,125225,13100.67,13970.44,12.5
1920648,25201,1253830,12822.1969863,13248.8957763,12.5
1920650,25201,1253930,12860.7874434,13271.9678308,12.5
1920653,25201,1254172,13007.2297088,13989.074146500001,12.5
1920683,25201,1255385,13499.4,13396.05,12.5
1920691,25201,1255961,12981.785683700002,13291.8607808,12.5
1920697,25201,125636,12797.8057906,13450.601151700002,12.5
1920715,25201,1257086,13708.2,13292.85,12.5
1920726,25201,1257646,12937.485454200001,13970.8516061,12.5
1920735,25201,125824,13256.726309,13345.6095465,12.5
1920799,25201,1261563,13206.44,13957.33,12.5
1920814,25201,1261940,13101.8315999,13988.372938100001,12.5
1920825,25201,1262384,14333.85,13312.09,12.5
1920829,25201,1262494,13499.4,13396.05,12.5
1920876,25201,1264963,14119.95,12128.25,12.5
