,time,name,x,y,speed
12,3646,1049181,13193.4667534,12900.7592445,15.28
15,3646,934375,13483.728546,12302.725984,15.28
16,3647,1049181,13208.363506799999,12897.358489100001,15.28
19,3647,934375,13477.947091999999,12288.581968,15.28
20,3648,1049181,13223.2602602,12893.9577336,15.28
23,3648,934375,13472.165638,12274.437952,15.28
24,3649,1049181,13234.4239127,12886.726176200002,15.28
27,3649,934375,13466.384183899998,12260.293936,15.28
28,3650,1049181,13246.4437879,12877.2921422,15.28
31,3650,934375,13460.6027299,12246.14992,15.28
32,3651,1049181,13258.463663200002,12867.8581082,15.28
35,3651,934375,13454.8212759,12232.005904000001,15.28
36,3652,1049181,13270.4835385,12858.4240741,15.28
39,3652,934375,13449.039821899998,12217.861888,15.28
40,3653,1049181,13282.5034137,12848.990040100001,15.28
43,3653,934375,13443.258367899998,12203.717872,15.28
44,3654,1049181,13294.523289,12839.5560061,15.28
47,3654,934375,13437.4769139,12189.573856,15.28
48,3655,1049181,13306.5431643,12830.1219721,15.28
51,3655,934375,13431.6954599,12175.42984,15.28
52,3656,1049181,13318.563039499999,12820.6879381,15.28
55,3656,934375,13425.9140058,12161.285823999999,15.28
56,3657,1049181,13330.5829148,12811.2539041,15.28
59,3657,934375,13420.1325518,12147.141808,15.28
60,3658,1049181,13342.60279,12801.819870000001,15.28
63,3658,934375,13415.152501,12134.499405,15.28
64,3659,1049181,13354.6226653,12792.385836,15.28
67,3659,934375,13409.640002700002,12120.2484134,15.28
68,3660,1049181,13366.6425406,12782.951802,15.28
71,3660,934375,13404.1275044,12105.997421799999,15.28
72,3661,1049181,13378.6624158,12773.517768000002,15.28
75,3661,934375,13398.6150061,12091.7464302,15.28
76,3662,1049181,13390.05,12764.58,15.28
79,3662,934375,13393.7228016,12078.927580700001,15.28
80,3663,1049181,13390.05,12764.58,15.28
83,3663,934375,13388.354805600002,12064.6215324,15.28
84,3664,1049181,13390.05,12764.58,15.28
87,3664,934375,13382.986809600001,12050.315484100001,15.28
88,3665,1049181,13390.05,12764.58,15.28
91,3665,934375,13378.0957607,12037.4963006,15.28
92,3666,1049181,13390.05,12764.58,15.28
95,3666,934375,13372.374564,12023.3278036,15.28
96,3667,1049181,13390.05,12764.58,15.28
99,3667,934375,13366.6533673,12009.1593066,15.28
100,3668,1049181,13401.241925,12756.58886,15.28
104,3669,1049181,13413.677397200001,12747.709815600001,15.28
108,3670,1049181,13426.112869499999,12738.8307712,15.28
112,3671,1049181,13438.5483417,12729.9517268,15.28
117,3672,1049181,13450.9838139,12721.0726824,15.28
122,3673,1049181,13463.419286100001,12712.193637999999,15.28
127,3674,1049181,13472.78,12705.51,15.28
132,3675,1049181,13472.78,12705.51,15.28
137,3676,1049181,13472.78,12705.51,15.28
142,3677,1049181,13472.78,12705.51,15.28
147,3678,1049181,13472.78,12705.51,15.28
152,3679,1049181,13474.0078264,12704.6004802,15.28
157,3680,1049181,13486.286090399999,12695.5052819,15.28
162,3681,1049181,13498.564354499998,12686.410083600002,15.28
167,3682,1049181,13510.8426185,12677.314885400001,15.28
172,3683,1049181,13521.19,12669.65,15.28
177,3684,1049181,13521.19,12669.65,15.28
182,3685,1049181,13521.19,12669.65,15.28
187,3686,1049181,13521.19,12669.65,15.28
192,3687,1049181,13521.19,12669.65,15.28
197,3688,1049181,13521.19,12669.65,15.28
202,3689,1049181,13535.6188273,12664.6213479,15.28
207,3690,1049181,13550.0476546,12659.592695899999,15.28
212,3691,1049181,13564.476481900001,12654.5640438,15.28
217,3692,1049181,13578.905309200001,12649.535391700001,15.28
