,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0034,0.0034,0.0034,0.0034,0.0034,0.0032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7621,1.0,0.0031
1,0.0061,0.0061,0.0061,0.0061,0.0061,0.0047,0.9995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64
2,0.0075,0.0075,0.0075,0.0075,0.0071,0.0047,0.9867,1.0,0.9984,1.0,1.0,1.0,0.9984,1.0,1.0,0.9984,1.0,1.0,1.0,1.0,1.0,0.8888,0.8424,0.4851
3,0.0092,0.0087,0.0092,0.0092,0.0083,0.5,0.9987,0.9984,0.9944,0.9557,0.9888,0.9232,0.9733,0.96,0.9408,1.0,0.9973,0.9968,0.9984,0.9136,0.9136,0.8885,0.8416,0.7808
4,0.0105,0.0099,0.0105,0.0105,0.0094,0.4445,0.9195,0.9576,0.9221,0.8704,0.7936,0.8605,0.9216,0.924,0.8533,0.8992,0.9493,0.9259,0.9483,0.8549,0.8549,0.7189,0.8507,0.6533
5,0.0134,0.0127,0.0134,0.0134,0.0114,0.8421,1.0,1.0,0.9973,0.9867,0.9685,0.9984,1.0,0.9968,1.0,0.9984,1.0,0.9968,0.9973,0.9984,0.9984,0.9888,0.9408,0.9232
6,0.0171,0.0162,0.0171,0.0171,0.0145,0.7808,0.9984,0.9973,0.9968,0.9984,1.0,1.0,0.9981,0.9984,0.9984,0.9973,0.9984,0.9984,0.9973,0.9984,0.9984,0.9987,0.9984,0.8424
7,0.0162,0.0145,0.0162,0.0153,0.0131,0.6533,0.8672,0.8875,0.8747,0.884,0.8427,0.8536,0.8544,0.8885,0.8701,0.8816,0.9011,0.8867,0.8792,0.8448,0.8448,0.8176,0.7728,0.6856
