,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,117.647,117.647,117.647,117.647,117.647,111.111,41.672,17.865,25.008,41.672,41.673,41.672,31.256,31.256,41.672,31.255,17.865,20.841,25.007,41.672,41.672,62.503,62.502,105.263
1,235.294,235.294,235.294,235.294,235.294,181.818,49.999,20.833,31.251,49.997,62.496,50.002,35.712,35.715,49.997,31.252,20.834,25.001,31.249,50.001,50.001,83.329,83.326,124.998
2,352.941,352.941,352.941,352.941,333.333,222.222,62.474,24.973,37.476,62.47,74.971,62.479,41.641,46.847,62.468,41.639,24.976,31.224,37.472,62.478,62.478,93.728,93.723,181.794
3,470.588,444.444,470.588,470.588,421.053,249.967,71.373,26.266,41.616,62.453,82.419,71.381,45.403,49.948,62.451,45.4,27.727,33.284,41.61,71.38,71.38,111.067,99.953,195.096
4,588.235,555.556,588.235,588.235,526.316,277.741,71.875,28.414,44.373,67.955,82.578,76.851,48.006,52.561,66.595,46.873,29.686,36.154,42.299,76.265,76.265,112.3,106.326,204.054
5,705.882,666.667,705.882,705.882,600.0,315.747,74.919,27.702,44.041,68.107,83.261,74.931,46.802,53.492,68.103,46.797,28.771,35.637,41.591,74.93,74.93,123.629,107.075,230.708
6,823.529,777.778,823.529,823.529,700.0,341.418,67.243,25.669,39.711,62.437,79.478,72.851,43.686,48.545,62.434,43.681,26.451,32.344,37.981,72.849,72.849,109.311,109.3,218.688
7,941.176,842.105,941.176,888.889,761.905,326.487,72.292,27.807,43.844,67.976,84.109,77.566,47.504,52.347,66.838,46.4,29.027,35.441,41.767,76.82,76.82,116.695,110.242,228.48
