,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,17.0,17.0,17.0,17.0,17.0,38.0,144.0,390.0,246.0,162.0,123.0,142.0,226.0,205.0,163.0,227.0,370.0,307.0,249.0,142.0,142.0,83.0,100.0,41.0
1,17.0,18.0,17.0,17.0,19.0,49.0,279.0,727.0,462.0,286.0,231.0,255.0,416.0,385.0,304.0,436.0,699.0,569.0,487.0,256.0,256.0,157.0,177.0,75.0
2,17.0,19.0,17.0,18.0,21.0,77.0,400.0,1086.0,682.0,427.0,341.0,371.0,626.0,568.0,431.0,634.0,1033.0,836.0,714.0,372.0,372.0,248.0,255.0,110.0
3,18.0,19.0,17.0,18.0,22.0,88.0,534.0,1437.0,897.0,566.0,449.0,500.0,832.0,747.0,571.0,858.0,1375.0,1128.0,952.0,502.0,502.0,321.0,347.0,145.0
4,18.0,20.0,17.0,18.0,24.0,114.0,659.0,1764.0,1114.0,696.0,565.0,604.0,1023.0,930.0,718.0,1052.0,1695.0,1386.0,1173.0,607.0,607.0,389.0,418.0,177.0
5,18.0,20.0,17.0,18.0,24.0,130.0,723.0,1940.0,1210.0,760.0,613.0,668.0,1119.0,1010.0,782.0,1148.0,1855.0,1514.0,1285.0,671.0,671.0,421.0,450.0,193.0
6,18.0,21.0,17.0,19.0,26.0,146.0,889.0,2410.0,1511.0,949.0,763.0,827.0,1391.0,1250.0,973.0,1424.0,2313.0,1875.0,1596.0,831.0,831.0,529.0,562.0,235.0
7,18.0,21.0,17.0,19.0,26.0,162.0,937.0,2538.0,1591.0,997.0,795.0,875.0,1455.0,1314.0,1021.0,1504.0,2425.0,1971.0,1676.0,879.0,879.0,561.0,594.0,251.0
