,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,117.647,117.647,117.647,117.647,117.647,62.502,17.862,6.585,10.423,15.631,20.838,17.863,11.369,12.506,15.63,11.369,6.951,8.34,10.422,17.863,17.863,31.253,25.005,62.499
1,235.294,222.222,235.294,235.294,210.526,121.196,22.719,8.919,13.88,22.716,27.767,24.99,15.615,16.657,20.825,14.697,9.25,11.354,13.149,24.99,24.99,41.652,35.704,83.318
2,352.941,315.789,352.941,333.333,285.714,124.973,26.754,9.838,15.595,24.969,31.218,28.814,17.015,18.72,24.967,17.013,10.386,12.899,14.969,28.813,28.813,41.639,41.634,93.716
3,444.444,421.053,470.588,444.444,363.636,142.819,27.727,10.365,16.615,26.264,33.279,29.363,17.807,19.948,26.262,17.192,10.819,13.109,15.575,29.362,29.362,45.405,41.62,98.713
4,555.556,500.0,588.235,555.556,416.667,151.455,28.343,10.707,16.826,27.105,32.83,31.181,18.316,20.096,25.976,17.791,11.093,13.521,15.96,31.18,31.18,48.009,44.576,103.024
5,666.667,600.0,705.882,666.667,500.0,149.955,28.795,10.816,17.387,27.722,34.038,31.198,18.698,20.78,26.733,18.24,11.31,13.836,16.253,31.196,31.196,49.942,46.817,107.084
6,777.778,666.667,823.529,736.842,538.462,170.641,29.08,10.716,17.072,27.257,33.571,31.165,18.532,20.746,26.431,18.144,11.133,13.802,16.12,31.163,31.163,48.526,45.965,109.282
7,888.889,761.905,941.176,842.105,615.385,166.594,30.225,11.158,17.781,28.492,35.636,32.183,19.529,21.66,27.701,18.792,11.687,14.414,16.873,32.181,32.181,49.926,47.541,111.031
