,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0277,0.0738,0.0092,0.0369,0.1477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.0421,0.1062,0.014,0.0562,0.2011,0.9696,1.0,1.0,0.9984,1.0,1.0,1.0,0.9984,1.0,0.9984,0.9973,1.0,0.9973,0.9981,1.0,1.0,1.0,1.0,1.0
2,0.0565,0.1347,0.0188,0.0711,0.2439,1.0,1.0,0.9931,0.9984,1.0,0.9984,0.9984,0.9973,0.9973,1.0,0.9973,0.9984,0.9976,1.0,0.9984,0.9984,0.9984,0.9984,0.9995
3,0.0684,0.1727,0.0241,0.0912,0.2984,0.8568,0.9984,0.9984,1.0,0.9981,1.0,0.9973,1.0,1.0,0.9981,0.9976,0.9936,0.9931,0.9984,0.9973,0.9973,1.0,0.9984,0.9867
4,0.0834,0.2,0.0294,0.1111,0.3333,0.9696,0.9973,0.9899,0.9965,0.9997,0.9981,0.9973,0.9973,1.0,0.9984,0.9987,1.0,0.9936,0.9984,0.9973,0.9973,0.9984,0.9968,0.9888
5,0.0988,0.237,0.0349,0.1317,0.3951,1.0,0.9984,0.9936,0.9976,1.0,0.9973,0.9984,1.0,0.9984,1.0,0.9949,1.0,0.9936,0.9936,0.9984,0.9984,1.0,0.9984,0.9987
6,0.116,0.2651,0.0409,0.1465,0.4282,0.9747,1.0,0.9936,0.9928,0.9984,0.9984,1.0,0.9901,0.9968,0.9944,0.9984,0.9984,0.9912,0.9936,1.0,1.0,0.9984,0.9981,0.9984
7,0.127,0.2903,0.0448,0.1604,0.4689,1.0,0.9944,0.9968,1.0,0.9987,1.0,1.0,0.9928,0.9936,0.9984,0.9893,0.9973,0.9936,0.9912,1.0,1.0,0.9973,0.9968,0.9984
