,time,name,x,y,speed
470608,14400,1001922,13424.483110799998,13915.200770299998,15.28
470614,14400,1025716,13220.6795705,13345.307888700001,15.28
470633,14400,1150150,13999.120415600002,13885.117815099999,15.28
470639,14400,1162644,13251.77,13344.95,15.28
470662,14400,1282310,12742.566283,13679.6985291,15.28
470677,14400,1398928,13290.7566066,13350.1380299,15.28
470683,14400,1425499,12737.660031399999,13698.0538271,15.28
470690,14400,1482612,13523.535155200001,13899.139010699999,15.28
470723,14400,279958,14374.9436497,13735.380978600002,15.28
470750,14400,375991,13148.5445943,13336.400446,15.28
470812,14400,729018,12717.36,13337.93,15.28
470816,14401,1001922,13409.8436156,13919.578393200001,15.28
470822,14401,1025716,13235.9585582,13345.1320089,15.28
470841,14401,1150150,14014.3431303,13886.4396909,15.28
470847,14401,1162644,13251.77,13344.95,15.28
470870,14401,1282310,12738.6205598,13694.4602928,15.28
470885,14401,1398928,13275.6101265,13348.1224559,15.28
470891,14401,1425499,12741.6057547,13683.2920634,15.28
470898,14401,1482612,13538.7594853,13897.8358708,15.28
470931,14401,279958,14375.2625343,13720.1043065,15.28
470958,14401,375991,13146.11,13335.76,15.28
471020,14401,729018,12717.36,13337.93,15.28
471024,14402,1001922,13395.2041205,13923.9560161,15.28
471030,14402,1025716,13251.2375459,13344.956129200002,15.28
471049,14402,1150150,14029.5658451,13887.7615667,15.28
471055,14402,1162644,13251.77,13344.95,15.28
471078,14402,1282310,12734.6748365,13709.222056499999,15.28
471093,14402,1398928,13260.4636464,13346.106881799999,15.28
471099,14402,1425499,12743.75,13675.27,15.28
471106,14402,1482612,13553.9838153,13896.532731,15.28
471139,14402,279958,14375.52,13707.77,15.28
471166,14402,375991,13146.11,13335.76,15.28
471228,14402,729018,12717.36,13337.93,15.28
471232,14403,1001922,13388.77,13925.88,15.28
471238,14403,1025716,13251.77,13344.95,15.28
471257,14403,1150150,14034.73,13888.21,15.28
471263,14403,1162644,13251.77,13344.95,15.28
471286,14403,1282310,12730.729113200001,13723.983820200003,15.28
471301,14403,1398928,13251.77,13344.95,15.28
471307,14403,1425499,12743.75,13675.27,15.28
471314,14403,1482612,13569.2081454,13895.2295912,15.28
471347,14403,279958,14373.271271399999,13692.6563764,15.28
471374,14403,375991,13146.11,13335.76,15.28
471436,14403,729018,12727.8097407,13328.990177700001,15.28
471440,14404,1001922,13388.77,13925.88,15.28
471446,14404,1025716,13251.77,13344.95,15.28
471465,14404,1150150,14034.73,13888.21,15.28
471471,14404,1162644,13251.77,13344.95,15.28
471494,14404,1282310,12726.7833899,13738.7455838,15.28
471509,14404,1398928,13251.77,13344.95,15.28
471515,14404,1425499,12743.75,13675.27,15.28
471522,14404,1482612,13584.4324754,13893.9264514,15.28
471555,14404,279958,14371.0225428,13677.5427528,15.28
471582,14404,375991,13146.11,13335.76,15.28
471643,14404,670643,12690.9439516,13928.765382299998,15.28
471645,14404,729018,12719.4213416,13336.166508700002,15.28
471649,14405,1001922,13388.77,13925.88,15.28
471655,14405,1025716,13263.729501200001,13347.4791314,15.28
471674,14405,1150150,14034.73,13888.21,15.28
471680,14405,1162644,13239.546809799998,13345.090703799999,15.28
471703,14405,1282310,12723.85,13749.72,15.28
471718,14405,1398928,13263.729501200001,13347.4791314,15.28
471724,14405,1425499,12743.75,13675.27,15.28
471731,14405,1482612,13596.39,13893.5,15.28
471764,14405,279958,14368.773814200002,13662.4291292,15.28
471791,14405,375991,13146.11,13335.76,15.28
471852,14405,670643,12688.7112389,13925.225299599999,15.28
471854,14405,729018,12710.418702200002,13346.0677392,15.28
471858,14406,1001922,13388.77,13925.88,15.28
471864,14406,1025716,13278.6788778,13350.6405457,15.28
471883,14406,1150150,14034.73,13888.21,15.28
471889,14406,1162644,13224.2678221,13345.266583499999,15.28
471912,14406,1282310,12723.85,13749.72,15.28
471927,14406,1398928,13278.6788778,13350.6405457,15.28
471933,14406,1425499,12743.75,13675.27,15.28
471940,14406,1482612,13610.042095200002,13891.845370500001,15.28
471972,14406,279958,14366.5250856,13647.3155055,15.28
471999,14406,375991,13136.520961799999,13331.0213544,15.28
472060,14406,670643,12689.9537168,13909.9958988,15.28
472062,14406,729018,12700.502562399999,13357.693081,15.28
472066,14407,1001922,13388.77,13925.88,15.28
472072,14407,1025716,13293.6282543,13353.801959999999,15.28
472091,14407,1150150,14034.73,13888.21,15.28
472097,14407,1162644,13208.9888344,13345.442463200001,15.28
472120,14407,1282310,12723.85,13749.72,15.28
472135,14407,1398928,13293.6282543,13353.801959999999,15.28
472141,14407,1425499,12744.8384721,13670.817103799998,15.28
472148,14407,1482612,13625.21109,13890.0068934,15.28
472180,14407,279958,14364.276356999999,13632.2018819,15.28
472207,14407,375991,13122.8223359,13324.251860600001,15.28
472269,14407,670643,12691.196194600001,13894.7664981,15.28
472271,14407,729018,12690.586422700002,13369.3184228,15.28
472275,14408,1001922,13382.8750146,13927.494215399998,15.28
472281,14408,1025716,13308.5776309,13356.9633742,15.28
472300,14408,1150150,14042.3651076,13887.936629,15.28
472306,14408,1162644,13193.709846700001,13345.618343,15.28
472329,14408,1282310,12723.85,13749.72,15.28
472344,14408,1398928,13308.5776309,13356.9633742,15.28
