,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.0103,0.0275,0.0034,0.0137,0.055,0.3537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5471
1,0.0182,0.0486,0.0061,0.0243,0.0972,0.5116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.0224,0.0598,0.0075,0.0299,0.1129,0.5128,1.0,1.0,1.0,1.0,1.0,1.0,0.9984,1.0,1.0,0.9984,1.0,0.9984,1.0,1.0,1.0,0.9995,0.9995,0.9696
3,0.0277,0.0697,0.0092,0.0369,0.1321,1.0,0.9987,0.9981,0.9984,0.9984,0.9888,0.9987,1.0,1.0,0.9984,1.0,0.9984,1.0,0.9984,0.9987,0.9987,0.8885,1.0,0.7808
4,0.0314,0.079,0.0105,0.0418,0.1497,0.8891,0.9195,0.9576,0.9221,0.9792,0.9259,0.9835,0.9216,0.924,0.96,0.9741,0.9493,0.9837,0.9483,0.9771,0.9771,0.8987,0.8507,0.6533
5,0.0403,0.1016,0.0134,0.0538,0.1829,0.8421,1.0,1.0,0.9973,1.0,0.9984,1.0,0.9984,0.9968,1.0,0.9984,0.9984,0.9968,0.9984,1.0,1.0,0.9888,0.9987,0.9232
6,0.0513,0.1293,0.0171,0.0685,0.2327,0.7808,0.9984,0.9973,0.9973,1.0,1.0,0.9984,0.9973,0.9984,1.0,0.9973,0.9944,1.0,0.9997,0.9984,0.9984,1.0,0.9984,0.9995
7,0.0487,0.1162,0.0162,0.0613,0.2102,0.6533,0.8672,0.8875,0.8747,0.884,0.8427,0.8536,0.9019,0.8885,0.8701,0.8816,0.9011,0.8867,0.9211,0.8448,0.8448,0.8176,0.8832,0.9141
