,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,117.647,117.647,117.647,117.647,117.647,52.632,13.889,5.128,8.13,12.346,16.26,14.085,8.85,9.756,12.27,8.811,5.405,6.515,8.032,14.085,14.085,24.096,20.0,48.78
1,235.294,222.222,235.294,235.294,210.526,81.633,14.337,5.502,8.658,13.986,17.316,15.686,9.615,10.39,13.158,9.174,5.722,7.03,8.214,15.625,15.625,25.478,22.599,53.333
2,352.941,315.789,352.941,333.333,285.714,77.922,15.0,5.525,8.798,14.052,17.595,16.173,9.585,10.563,13.921,9.464,5.808,7.177,8.403,16.129,16.129,24.194,23.529,54.545
3,444.444,421.053,470.588,444.444,363.636,90.909,14.981,5.567,8.919,14.134,17.817,16.0,9.615,10.71,14.011,9.324,5.818,7.092,8.403,15.936,15.936,24.922,23.055,55.172
4,555.556,500.0,588.235,555.556,416.667,87.719,15.175,5.669,8.977,14.368,17.699,16.556,9.775,10.753,13.928,9.506,5.9,7.215,8.525,16.474,16.474,25.707,23.923,56.497
5,666.667,600.0,705.882,666.667,500.0,92.308,16.598,6.186,9.917,15.789,19.576,17.964,10.724,11.881,15.345,10.453,6.469,7.926,9.339,17.884,17.884,28.504,26.667,62.176
6,777.778,666.667,823.529,736.842,538.462,95.89,15.748,5.809,9.265,14.752,18.349,16.929,10.065,11.2,14.388,9.831,6.053,7.467,8.772,16.847,16.847,26.465,24.911,59.574
7,888.889,761.905,941.176,842.105,615.385,98.765,17.076,6.304,10.057,16.048,20.126,18.286,10.997,12.177,15.671,10.638,6.598,8.118,9.547,18.203,18.203,28.52,26.936,63.745
